CIW,PCCW,TPRW,VRW,SPW
red,red,red,red,red
red,red,red,orange,red
red,red,red,green,red
orange,red,red,red,red
red,orange,red,red,red
orange,red,red,orange,red
red,orange,red,orange,red
red,red,orange,red,red
red,red,orange,orange,red
green,red,red,red,red
orange,red,red,green,red
red,green,red,red,red
red,orange,red,green,red
green,red,red,orange,red
orange,orange,red,red,red
red,green,red,orange,red
red,red,orange,green,red
orange,orange,red,orange,red
orange,red,orange,red,red
red,orange,orange,red,red
green,red,red,green,red
orange,red,orange,orange,red
red,green,red,green,red
red,orange,orange,orange,red
red,red,green,red,red
orange,orange,red,green,red
red,red,green,orange,red
green,orange,red,red,red
orange,green,red,red,red
green,orange,red,orange,orange
green,red,orange,red,orange
orange,green,red,orange,orange
orange,red,orange,green,orange
red,green,orange,red,orange
red,orange,orange,green,orange
green,red,orange,orange,orange
red,green,orange,orange,orange
orange,orange,orange,red,orange
red,red,green,green,orange
orange,orange,orange,orange,orange
green,green,red,red,orange
green,orange,red,green,orange
orange,green,red,green,orange
orange,red,green,red,orange
red,orange,green,red,orange
green,green,red,orange,orange
green,red,orange,green,orange
orange,red,green,orange,orange
red,green,orange,green,orange
red,orange,green,orange,orange
orange,orange,orange,green,orange
green,orange,orange,red,orange
orange,green,orange,red,orange
green,green,red,green,green
green,orange,orange,orange,green
green,red,green,red,green
orange,green,orange,orange,green
orange,red,green,green,green
red,green,green,red,green
red,orange,green,green,green
green,red,green,orange,green
red,green,green,orange,green
orange,orange,green,red,green
orange,orange,green,orange,green
green,green,orange,red,green
green,orange,orange,green,green
orange,green,orange,green,green
green,green,orange,orange,green
green,red,green,green,green
red,green,green,green,green
orange,orange,green,green,green
green,orange,green,red,green
orange,green,green,red,green
green,green,orange,green,green
green,orange,green,orange,green
orange,green,green,orange,green
green,green,green,red,green
green,orange,green,green,green
orange,green,green,green,green
green,green,green,orange,green
green,green,green,green,green
